B lat lon SMp Cab Cdm Cw Cs Cca Cant N LAI LIDFa LIDFb hot Pa aot550 uo3 alt_m Pa0 tts tto psi
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 200
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 210
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 220
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 230
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 240
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 250
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 260
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 270
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 280
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 290
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 300
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 310
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 320
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 330
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 340
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 350
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 360
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 0
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 10
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 20
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 30
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 40
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 50
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 60
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 70
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 80
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 90
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 100
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 110
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 120
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 130
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 140
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 150
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 160
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 170
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 180
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 190
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 200
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 210
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 220
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 230
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 240
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 250
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 260
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 270
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 280
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 290
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 300
